plot,treatment,colour,year,grain
12,N1+N3+N1 PKMg,#228B22,1995,3.04
13,N4 PK,#6B8E23,1995,4.86
14,N4 PKMg*,#008080,1995,4.58
15,N5 PKMg,#00008B,1995,6.48
16,N6 PKMg,#7B68EE,1995,7.58
17,N1+N4+N1 PKMg,#32CD32,1995,6.22
18,N1+N2+N1 PKMg,#FFD700,1995,6.84
19,N1+N1+N1 KMg,#FF8C00,1995,1.49
21,FYM N2,#8B0000,1995,7.38
22,FYM,#FF0000,1995,5.27
3,Nil,#00BFFF,1995,1.1
5,PKMg,#FF00FF,1995,0.86
6,N1 PKMg,#FF4500,1995,4.33
7,N2 PKMg,#9ACD32,1995,5.32
8,N3 PKMg,#00FA9A,1995,5.56
9,N4 PKMg,#00FFFF,1995,6.67
10,N4,#8FBC8F,1996,3.58
11,N4 PMg,#7FFFD4,1996,3.64
12,N1+N3+N1 PKMg,#228B22,1996,4.21
13,N4 PK,#6B8E23,1996,5.78
14,N4 PKMg*,#008080,1996,5.61
15,N5 PKMg,#00008B,1996,7.89
16,N6 PKMg,#7B68EE,1996,8.5
17,N1+N4+N1 PKMg,#32CD32,1996,8.2
18,N1+N2+N1 PKMg,#FFD700,1996,7.36
19,N1+N1+N1 KMg,#FF8C00,1996,2.23
21,FYM N2,#8B0000,1996,7.81
22,FYM,#FF0000,1996,5.42
3,Nil,#00BFFF,1996,0.95
5,PKMg,#FF00FF,1996,1.63
6,N1 PKMg,#FF4500,1996,3.95
7,N2 PKMg,#9ACD32,1996,5.84
8,N3 PKMg,#00FA9A,1996,7.11
9,N4 PKMg,#00FFFF,1996,8.03
10,N4,#8FBC8F,1997,2.54
11,N4 PMg,#7FFFD4,1997,2.66
12,N1+N3+N1 PKMg,#228B22,1997,3.61
13,N4 PK,#6B8E23,1997,5.62
14,N4 PKMg*,#008080,1997,5.81
15,N5 PKMg,#00008B,1997,7.83
16,N6 PKMg,#7B68EE,1997,8.83
17,N1+N4+N1 PKMg,#32CD32,1997,7.31
18,N1+N2+N1 PKMg,#FFD700,1997,7.33
19,N1+N1+N1 KMg,#FF8C00,1997,1.29
21,FYM N2,#8B0000,1997,7.82
